Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 22, 4.746, 4.746, 4.746, 4.746, 4.746, 4.746, 4.746, 4.746, 4.746, #2 - 1.4D,
 23, 4.493, 4.493, 4.493, 4.493, 4.493, 4.493, 4.493, 4.493, 4.493, #2 - 1.4D,
 24, -4.669, -4.669, -4.669, -4.669, -4.669, -4.669, -4.669, -4.669, -4.669, #2 - 1.4D,
 25, -4.573, -4.573, -4.573, -4.573, -4.573, -4.573, -4.573, -4.573, -4.573, #2 - 1.4D,
 26, -4.613, -4.613, -4.613, -4.613, -4.613, -4.613, -4.613, -4.613, -4.613, #2 - 1.4D,
 27, -4.67, -4.67, -4.67, -4.67, -4.67, -4.67, -4.67, -4.67, -4.67, #2 - 1.4D,
 28, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, #2 - 1.4D,
 29, 0.078, 0.078, -0.011, -0.011, 0.012, 0.012, -0.086, -0.086, , #2 - 1.4D,
 30, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, #2 - 1.4D,
 31, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, #2 - 1.4D,
 32, 0.001, 0.001, 0, 0, 0, 0, -0.001, -0.001, , #2 - 1.4D,
 33, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, #2 - 1.4D,
 34, 0.013, 0.013, -0.016, -0.016, 0, 0.019, 0.019, -0.029, -0.029, #2 - 1.4D,
 35, -0.005, -0.005, 0.015, 0.015, 0.001, -0.021, -0.021, 0.038, 0.038, #2 - 1.4D,
 36, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, #2 - 1.4D,
 37, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, #2 - 1.4D,
 38, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, #2 - 1.4D,
 39, 4.844, 4.844, 4.844, 4.844, 4.844, 4.844, 4.844, 4.844, 4.844, #2 - 1.4D,
 40, 5.421, 5.421, 5.421, 5.421, 5.421, 5.421, 5.421, 5.421, 5.421, #2 - 1.4D,
 41, 5.367, 5.367, 5.367, 5.367, 5.367, 5.367, 5.367, 5.367, 5.367, #2 - 1.4D,
 42, 4.847, 4.847, 4.847, 4.847, 4.847, 4.847, 4.847, 4.847, 4.847, #2 - 1.4D,
 43, -5.051, -5.051, -5.051, -5.051, -5.051, -5.051, -5.051, -5.051, -5.051, #2 - 1.4D,
 44, -5.164, -5.164, -5.164, -5.164, -5.164, -5.164, -5.164, -5.164, -5.164, #2 - 1.4D,
 45, -5.214, -5.214, -5.214, -5.214, -5.214, -5.214, -5.214, -5.214, -5.214, #2 - 1.4D,
 46, -5.05, -5.05, -5.05, -5.05, -5.05, -5.05, -5.05, -5.05, -5.05, #2 - 1.4D,
 47, -0.141, -0.141, -0.141, -0.141, -0.141, -0.141, -0.141, -0.141, -0.141, #2 - 1.4D,
 48, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, #2 - 1.4D,
 49, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, #2 - 1.4D,
 50, -0.065, -0.065, -0.065, -0.065, -0.065, -0.065, -0.065, -0.065, -0.065, #2 - 1.4D,
 51, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, #2 - 1.4D,
 52, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, #2 - 1.4D,
 53, 0.093, 0.093, 0.093, 0.093, 0.093, 0.093, 0.093, 0.093, 0.093, #2 - 1.4D,
 54, -0.095, -0.095, -0.095, -0.095, -0.095, -0.095, -0.095, -0.095, -0.095, #2 - 1.4D,
 55, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, #2 - 1.4D,
 56, -0.357, -0.357, -0.357, -0.357, -0.357, -0.357, -0.357, -0.357, -0.357, #2 - 1.4D,
 59, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, #2 - 1.4D,
 60, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, #2 - 1.4D,
 61, -0.075, -0.075, -0.075, -0.075, -0.075, -0.075, -0.075, -0.075, -0.075, #2 - 1.4D,
 62, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, #2 - 1.4D,
 65, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, #2 - 1.4D,
 66, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, #2 - 1.4D,
 67, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, #2 - 1.4D,
 68, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, #2 - 1.4D,
 69, 0, 0, -0.001, -0.001, 0, 0.001, 0.001, -0.001, -0.001, #2 - 1.4D,
 70, -0.126, -0.126, -0.126, -0.126, -0.126, -0.126, -0.126, -0.126, -0.126, #2 - 1.4D,
 71, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, #2 - 1.4D,
 72, 0, 0, 0.001, 0.001, 0, -0.001, -0.001, 0.001, 0.001, #2 - 1.4D,
 75, -2.395, -2.395, -2.395, -2.395, -2.395, -2.395, -2.395, -2.395, -2.395, #2 - 1.4D,
 76, 2.398, 2.398, 2.398, 2.398, 2.398, 2.398, 2.398, 2.398, 2.398, #2 - 1.4D,
 77, -3.069, -3.069, -3.069, -3.069, -3.069, -3.069, -3.069, -3.069, -3.069, #2 - 1.4D,
 78, 3.036, 3.036, 3.036, 3.036, 3.036, 3.036, 3.036, 3.036, 3.036, #2 - 1.4D,

1,-0.969, -0.969, -0.969, -0.969, -0.969, -0.969, -0.969, -0.969, -0.969, #3 - 1.2D + 1.6L + 0.5Lr,
 2, -0.729, -0.729, -0.729, -0.729, -0.729, -0.729, -0.729, -0.729, -0.729, #3 - 1.2D + 1.6L + 0.5Lr,
 3, -0.763, -0.763, -0.763, -0.763, -0.763, -0.763, -0.763, -0.763, -0.763, #3 - 1.2D + 1.6L + 0.5Lr,
