Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 26, 0.271, 0.271, 0.271, 0.271, 0.271, 0.271, 0.271, 0.271, 0.271, #2 - 1.4D,
 27, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, #2 - 1.4D,
 28, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, #2 - 1.4D,
 29, -4.581, -4.581, -0.591, -0.591, 0.665, 0.665, 4.599, 4.599, , #2 - 1.4D,
 30, 0.118, 0.118, 0.118, 0.118, 0.118, 0.118, 0.118, 0.118, 0.118, #2 - 1.4D,
 31, -0.111, -0.111, -0.111, -0.111, -0.111, -0.111, -0.111, -0.111, -0.111, #2 - 1.4D,
 32, -5.717, -5.717, -2.101, -2.101, 2.17, 2.17, 5.768, 5.768, , #2 - 1.4D,
 33, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, #2 - 1.4D,
 34, 18.895, 18.895, 6.885, 6.885, 0.043, -6.771, -6.771, -18.626, -18.626, #2 - 1.4D,
 35, -18.929, -18.929, -6.891, -6.891, -0.033, 6.792, 6.792, 18.655, 18.655, #2 - 1.4D,
 36, 0.774, 0.774, 0.774, 0.774, 0.774, 0.774, 0.774, 0.774, 0.774, #2 - 1.4D,
 37, -0.797, -0.797, -0.797, -0.797, -0.797, -0.797, -0.797, -0.797, -0.797, #2 - 1.4D,
 38, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, #2 - 1.4D,
 39, -0.014, -0.014, -0.014, -0.014, -0.014, -0.014, -0.014, -0.014, -0.014, #2 - 1.4D,
 40, 0.071, 0.071, 0.071, 0.071, 0.071, 0.071, 0.071, 0.071, 0.071, #2 - 1.4D,
 41, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, #2 - 1.4D,
 42, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, #2 - 1.4D,
 43, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, #2 - 1.4D,
 44, -0.401, -0.401, -0.401, -0.401, -0.401, -0.401, -0.401, -0.401, -0.401, #2 - 1.4D,
 45, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, #2 - 1.4D,
 46, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, #2 - 1.4D,
 47, -1.316, -1.316, -1.316, -1.316, -1.316, -1.316, -1.316, -1.316, -1.316, #2 - 1.4D,
 48, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, #2 - 1.4D,
 49, -0.879, -0.879, -0.879, -0.879, -0.879, -0.879, -0.879, -0.879, -0.879, #2 - 1.4D,
 50, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, #2 - 1.4D,
 51, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, #2 - 1.4D,
 52, 0.773, 0.773, 0.773, 0.773, 0.773, 0.773, 0.773, 0.773, 0.773, #2 - 1.4D,
 53, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, #2 - 1.4D,
 54, -0.021, -0.021, -0.021, -0.021, -0.021, -0.021, -0.021, -0.021, -0.021, #2 - 1.4D,
