Node ID,Support ID,X Force (kN),Y Force (kN),Z Force (kN),X Moment (kN-m),Y Moment (kN-m),Z Moment (kN-m)Load Combination
 17, 9, -2.08875, -19.13523, -12.73426, 0, 0, 0, #7 - 1.420 D + 0.500 Lp - 1.250 E2,

1,1,47.33178, 431.40067, 5.91095, 8.66253, 1.87137, 91.7763, #8 - 1.420 D + 1.250 E1,
 3, 2, 8.3749, 288.44302, 2.90685, 0, 0, 0, #8 - 1.420 D + 1.250 E1,
 5, 3, 8.56751, 297.55116, 1.64501, 0, 0, 0, #8 - 1.420 D + 1.250 E1,
 7, 4, 57.66244, 322.98475, 0.35258, 0.55825, 1.89674, 102.87253, #8 - 1.420 D + 1.250 E1,
 9, 5, 55.97301, 314.30781, 3.04168, 2.29443, 1.88618, 99.98577, #8 - 1.420 D + 1.250 E1,
 11, 6, 48.74556, 440.1474, 3.94085, 7.40093, 1.85944, 94.45933, #8 - 1.420 D + 1.250 E1,
 13, 7, 52.38457, 440.55207, 0.14783, 4.93699, 1.871, 101.78572, #8 - 1.420 D + 1.250 E1,
 15, 8, 62.09311, 323.58977, -2.73116, -1.43759, 1.88906, 110.78142, #8 - 1.420 D + 1.250 E1,
 17, 9, 9.32936, 298.31576, -0.59192, 0, 0, 0, #8 - 1.420 D + 1.250 E1,

1,1,11.95468, 413.89059, 35.47548, 78.55982, 1.76452, 20.71709, #9 - 1.420 D + 1.250 E2,
 3, 2, 1.20407, 270.51114, 14.5437, 0, 0, 0, #9 - 1.420 D + 1.250 E2,
 5, 3, -0.52723, 251.94714, 18.56892, 0, 0, 0, #9 - 1.420 D + 1.250 E2,
 7, 4, 1.31373, 322.39295, 46.52508, 90.29565, 3.34061, 2.94644, #9 - 1.420 D + 1.250 E2,
 9, 5, 12.90007, 343.22226, 39.45757, 85.59112, 3.43104, 23.27409, #9 - 1.420 D + 1.250 E2,
 11, 6, 2.37097, 393.81058, 41.91299, 82.84771, 1.76087, 1.86852, #9 - 1.420 D + 1.250 E2,
 13, 7, 12.4128, 423.51283, 29.58143, 74.75059, 1.76439, 21.64206, #9 - 1.420 D + 1.250 E2,
 15, 8, 13.45827, 352.22652, 33.5328, 81.76195, 3.43577, 24.27256, #9 - 1.420 D + 1.250 E2,
 17, 9, 1.29984, 278.95374, 10.95961, 0, 0, 0, #9 - 1.420 D + 1.250 E2,

1,1,-45.20863, 336.17701, -0.25474, -5.00728, -1.87124, -93.26922, #10 - 1.420 D - 1.250 E1,
 3, 2, -9.94282, 195.41345, 0.52841, 0, 0, 0, #10 - 1.420 D - 1.250 E1,
 5, 3, -10.13548, 203.70366, -1.53169, 0, 0, 0, #10 - 1.420 D - 1.250 E1,
 7, 4, -58.21757, 321.74854, -0.16133, -0.43292, -1.89683, -102.6233, #10 - 1.420 D - 1.250 E1,
 9, 5, -56.52765, 313.07249, 2.63493, 1.37421, -1.88953, -99.73724, #10 - 1.420 D - 1.250 E1,
 11, 6, -46.62285, 344.78216, -3.75035, -7.27619, -1.85946, -95.9516, #10 - 1.420 D - 1.250 E1,
 13, 7, -50.2618, 345.02139, -5.99414, -8.71767, -1.8712, -103.2779, #10 - 1.420 D - 1.250 E1,
 15, 8, -62.64821, 321.78636, -3.13623, -2.35672, -1.88571, -110.53209, #10 - 1.420 D - 1.250 E1,
 17, 9, -10.89722, 203.53749, -2.95752, 0, 0, 0, #10 - 1.420 D - 1.250 E1,

1,1,-9.83154, 353.6871, -29.81926, -74.90457, -1.76439, -22.21001, #11 - 1.420 D - 1.250 E2,
 3, 2, -2.772, 213.34533, -11.10844, 0, 0, 0, #11 - 1.420 D - 1.250 E2,
 5, 3, -1.04074, 249.30769, -18.4556, 0, 0, 0, #11 - 1.420 D - 1.250 E2,
 7, 4, -1.86886, 322.34034, -46.33384, -90.17032, -3.3407, -2.69721, #11 - 1.420 D - 1.250 E2,
 9, 5, -13.45471, 284.15804, -33.78095, -81.92248, -3.43439, -23.02556, #11 - 1.420 D - 1.250 E2,
 11, 6, -0.24826, 391.11898, -41.7225, -82.72297, -1.7609, -3.3608, #11 - 1.420 D - 1.250 E2,
 13, 7, -10.29003, 362.06063, -35.42774, -78.53127, -1.76459, -23.13424, #11 - 1.420 D - 1.250 E2,
 15, 8, -14.01337, 293.1496, -39.40018, -85.55626, -3.43243, -24.02323, #11 - 1.420 D - 1.250 E2,
 17, 9, -2.86769, 222.89952, -14.50906, 0, 0, 0, #11 - 1.420 D - 1.250 E2,

1,1,46.72517, 212.09276, 4.29489, 7.61818, 1.87133, 92.20285, #12 - 0.680 D + 1.250 E1,
 3, 2, 8.82288, 150.19832, 1.92535, 0, 0, 0, #12 - 0.680 D + 1.250 E1,
 5, 3, 9.0155, 154.3355, 1.61263, 0, 0, 0, #12 - 0.680 D + 1.250 E1,
 7, 4, 57.82105, 138.77524, 0.29794, 0.52244, 1.89677, 102.80132, #12 - 0.680 D + 1.250 E1,
 9, 5, 56.13148, 135.0563, 1.41979, 1.24625, 1.88713, 99.91476, #12 - 0.680 D + 1.250 E1,
 11, 6, 48.13907, 215.88181, 3.88642, 7.36529, 1.85944, 94.88569, #12 - 0.680 D + 1.250 E1,
 13, 7, 51.77807, 216.10251, 1.8182, 6.01719, 1.87105, 102.21206, #12 - 0.680 D + 1.250 E1,
 15, 8, 62.25171, 139.19659, -1.05476, -0.3535, 1.8881, 110.71018, #12 - 0.680 D + 1.250 E1,
 17, 9, 9.77732, 154.92912, 0.4222, 0, 0, 0, #12 - 0.680 D + 1.250 E1,

1,1,11.34807, 194.58268, 33.85942, 77.51546, 1.76449, 21.14364, #13 - 0.680 D + 1.250 E2,
 3, 2, 1.65205, 132.26643, 13.5622, 0, 0, 0, #13 - 0.680 D + 1.250 E2,
 5, 3, -0.07924, 108.73148, 18.53654, 0, 0, 0, #13 - 0.680 D + 1.250 E2,
 7, 4, 1.47234, 138.18344, 46.47044, 90.25984, 3.34064, 2.87523, #13 - 0.680 D + 1.250 E2,
 9, 5, 13.05854, 163.97075, 37.83568, 84.54294, 3.43199, 23.20308, #13 - 0.680 D + 1.250 E2,
 11, 6, 1.76448, 169.54499, 41.85856, 82.81207, 1.76088, 2.29488, #13 - 0.680 D + 1.250 E2,
 13, 7, 11.80629, 199.06327, 31.2518, 75.83078, 1.76445, 22.0684, #13 - 0.680 D + 1.250 E2,
 15, 8, 13.61687, 167.83334, 35.20919, 82.84604, 3.43482, 24.20133, #13 - 0.680 D + 1.250 E2,
 17, 9, 1.7478, 135.56709, 11.97374, 0, 0, 0, #13 - 0.680 D + 1.250 E2,

1,1,-45.81525, 116.8691, -1.8708, -6.05164, -1.87128, -92.84267, #14 - 0.680 D - 1.250 E1,
 3, 2, -9.49484, 57.16875, -0.45309, 0, 0, 0, #14 - 0.680 D - 1.250 E1,
 5, 3, -9.68749, 60.488, -1.56407, 0, 0, 0, #14 - 0.680 D - 1.250 E1,
 7, 4, -58.05897, 137.53903, -0.21597, -0.46873, -1.8968, -102.69451, #14 - 0.680 D - 1.250 E1,
 9, 5, -56.36918, 133.82097, 1.01304, 0.32603, -1.88857, -99.80825, #14 - 0.680 D - 1.250 E1,
 11, 6, -47.22934, 120.51657, -3.80478, -7.31183, -1.85946, -95.52524, #14 - 0.680 D - 1.250 E1,
 13, 7, -50.86831, 120.57183, -4.32377, -7.63748, -1.87114, -102.85157, #14 - 0.680 D - 1.250 E1,
 15, 8, -62.48961, 137.39318, -1.45983, -1.27263, -1.88667, -110.60333, #14 - 0.680 D - 1.250 E1,
 17, 9, -10.44926, 60.15085, -1.9434, 0, 0, 0, #14 - 0.680 D - 1.250 E1,

1,1,-10.43815, 134.37918, -31.43533, -75.94892, -1.76443, -21.78346, #15 - 0.680 D - 1.250 E2,
 3, 2, -2.32402, 75.10063, -12.08994, 0, 0, 0, #15 - 0.680 D - 1.250 E2,
 5, 3, -0.59275, 106.09202, -18.48798, 0, 0, 0, #15 - 0.680 D - 1.250 E2,
 7, 4, -1.71025, 138.13083, -46.38848, -90.20613, -3.34068, -2.76842, #15 - 0.680 D - 1.250 E2,
 9, 5, -13.29624, 104.90653, -35.40284, -82.97066, -3.43343, -23.09657, #15 - 0.680 D - 1.250 E2,
 11, 6, -0.85475, 166.85339, -41.77692, -82.75861, -1.76089, -2.93443, #15 - 0.680 D - 1.250 E2,
 13, 7, -10.89653, 137.61107, -33.75737, -77.45107, -1.76453, -22.70791, #15 - 0.680 D - 1.250 E2,
 15, 8, -13.85477, 108.75642, -37.72379, -84.47217, -3.43339, -24.09447, #15 - 0.680 D - 1.250 E2,
 17, 9, -2.41974, 79.51287, -13.49493, 0, 0, 0, #15 - 0.680 D - 1.250 E2,

1,1,-4.85027, 275.38951, -13.40908, -34.81974, 0.7255, 8.1874, #16 - 1.2D + 1.6W,
 3, 2, 1.43084, 161.05935, -4.82305, 0, 0, 0, #16 - 1.2D + 1.6W,
 5, 3, 1.90825, 183.79068, -9.5321, 0, 0, 0, #16 - 1.2D + 1.6W,
 7, 4, 0.12885, 241.70973, -25.59304, -45.85909, 1.48253, -0.35253, #16 - 1.2D + 1.6W,
 9, 5, -5.1025, 218.55284, -16.44635, -39.99096, 1.52797, 8.77344, #16 - 1.2D + 1.6W,
 11, 6, -2.15919, 299.07569, -21.1014, -39.79431, 0.71368, 0.44129, #16 - 1.2D + 1.6W,
 13, 7, 3.60349, 315.85079, -18.2676, -37.92426, 0.7146, -8.56315, #16 - 1.2D + 1.6W,
 15, 8, 5.16803, 258.30899, -21.5067, -43.19121, 1.53024, -9.31032, #16 - 1.2D + 1.6W,
 17, 9, -0.1275, 199.53546, -7.78598, 0, 0, 0, #16 - 1.2D + 1.6W,

1,1,-4.15884, 284.58271, -12.86086, -34.55485, 0.72754, 7.98343, #17 - 1.2D + 1.6W,
 3, 2, 0.83442, 170.0577, -4.45329, 0, 0, 0, #17 - 1.2D + 1.6W,
 5, 3, 0.72689, 192.28114, -9.53255, 0, 0, 0, #17 - 1.2D + 1.6W,
 7, 4, -0.04817, 250.50984, -25.59523, -45.86062, 1.48246, -0.11982, #17 - 1.2D + 1.6W,
 9, 5, -5.21619, 227.72995, -15.4419, -39.51629, 1.527, 8.93349, #17 - 1.2D + 1.6W,
 11, 6, -0.76346, 307.76286, -21.10247, -39.79474, 0.71357, -0.02653, #17 - 1.2D + 1.6W,
 13, 7, 4.3059, 323.99883, -18.81477, -38.18631, 0.71236, -8.77055, #17 - 1.2D + 1.6W,
 15, 8, 5.05276, 266.44285, -22.50916, -43.66161, 1.53109, -9.14814, #17 - 1.2D + 1.6W,
 17, 9, -0.73331, 207.4887, -8.15586, 0, 0, 0, #17 - 1.2D + 1.6W,

1,1,-32.92215, 258.3389, 1.10674, 0.86726, -0.04878, 66.14227, #18 - 1.2D + 1.6W,
 3, 2, 5.31994, 203.8973, 0.62034, 0, 0, 0, #18 - 1.2D + 1.6W,
 5, 3, 4.84572, 219.91119, 0.06595, 0, 0, 0, #18 - 1.2D + 1.6W,
 7, 4, -47.72111, 248.33297, 0.09102, 0.06387, -0.01824, 78.58832, #18 - 1.2D + 1.6W,
 9, 5, -42.90023, 232.49586, 0.16108, 0.48376, -0.03469, 73.1333, #18 - 1.2D + 1.6W,
 11, 6, -35.70177, 274.09561, 0.05326, -0.00582, -0.01804, 70.34254, #18 - 1.2D + 1.6W,
 13, 7, -33.17095, 283.60215, -1.22957, -1.03292, 0.01358, 66.61549, #18 - 1.2D + 1.6W,
 15, 8, -43.2254, 257.7802, -0.23027, -0.52769, -0.00082, 73.65876, #18 - 1.2D + 1.6W,
 17, 9, 5.35163, 229.2049, -0.63855, 0, 0, 0, #18 - 1.2D + 1.6W,

1,1,-32.23058, 267.33693, 1.65523, 1.1351, -0.0468, 65.93812, #19 - 1.2D + 1.6W,
 3, 2, 4.72354, 212.77417, 0.98957, 0, 0, 0, #19 - 1.2D + 1.6W,
 5, 3, 3.66443, 225.58631, 0.06504, 0, 0, 0, #19 - 1.2D + 1.6W,
 7, 4, -47.89843, 254.2818, 0.08937, 0.06565, -0.01843, 78.8216, #19 - 1.2D + 1.6W,
 9, 5, -43.01379, 241.5156, 1.16594, 0.96164, -0.03579, 73.29316, #19 - 1.2D + 1.6W,
 11, 6, -34.30627, 279.89367, 0.05255, -0.00325, -0.01821, 69.87524, #19 - 1.2D + 1.6W,
 13, 7, -32.4691, 286.12334, -1.77646, -1.29202, 0.01128, 66.40928, #19 - 1.2D + 1.6W,
 15, 8, -43.34136, 260.32508, -1.23229, -0.99487, -0.00009, 73.82223, #19 - 1.2D + 1.6W,
 17, 9, 4.74596, 231.60514, -1.00895, 0, 0, 0, #19 - 1.2D + 1.6W,

1,1,0.00978, 95.12488, 0.00012, 0.00188, -0.00004, -0.05027, #20 - SDL,
 3, 2, -0.02046, 64.60225, -0.00038, 0, 0, 0, #20 - SDL,
 5, 3, -0.02042, 62.75838, -0.00035, 0, 0, 0, #20 - SDL,
 7, 4, 0.01087, 77.62797, 0.00027, 0.00208, -0.00008, -0.05111, #20 - SDL,
 9, 5, 0.01113, 79.47187, 0.00022, 0.00204, -0.00008, -0.05158, #20 - SDL,
 11, 6, 0.00956, 93.28096, 0.00016, 0.0019, -0.00004, -0.04984, #20 - SDL,
 13, 7, 0.00933, 91.40706, 0.00012, 0.00187, -0.00004, -0.0494, #20 - SDL,
 15, 8, 0.0106, 75.75409, 0.00022, 0.00204, -0.00008, -0.05064, #20 - SDL,
 17, 9, -0.02038, 60.88453, -0.00038, 0, 0, 0, #20 - SDL,

1,1,0.01096, 80.06953, 0.00002, 0.00036, -0.00001, -0.05703, #21 - SDL_slab,
 3, 2, -0.02334, 45.19142, -0.00007, 0, 0, 0, #21 - SDL_slab,
 5, 3, -0.02333, 44.83625, -0.00007, 0, 0, 0, #21 - SDL_slab,
 7, 4, 0.01242, 61.8277, 0.00005, 0.0004, -0.00001, -0.0584, #21 - SDL_slab,
 9, 5, 0.01247, 62.18288, 0.00004, 0.00039, -0.00002, -0.05849, #21 - SDL_slab,
 11, 6, 0.01092, 79.71435, 0.00003, 0.00037, -0.00001, -0.05695, #21 - SDL_slab,
 13, 7, 0.01088, 79.3534, 0.00002, 0.00036, -0.00001, -0.05686, #21 - SDL_slab,
 15, 8, 0.01236, 61.46676, 0.00004, 0.00039, -0.00002, -0.05831, #21 - SDL_slab,
 17, 9, -0.02333, 44.47531, -0.00007, 0, 0, 0, #21 - SDL_slab,

1,1,0.00458, 31.25308, -0.00005, -0.00071, 0.00001, -0.02414, #22 - LL_slab,
 3, 2, -0.00994, 16.36714, 0.00015, 0, 0, 0, #22 - LL_slab,
 5, 3, -0.00996, 17.06974, 0.00013, 0, 0, 0, #22 - LL_slab,
 7, 4, 0.0053, 24.32169, -0.0001, -0.00079, 0.00003, -0.02493, #22 - LL_slab,
 9, 5, 0.0052, 23.61908, -0.00008, -0.00078, 0.00003, -0.02475, #22 - LL_slab,
 11, 6, 0.00466, 31.9557, -0.00006, -0.00072, 0.00001, -0.0243, #22 - LL_slab,
 13, 7, 0.00474, 32.66975, -0.00005, -0.00071, 0.00001, -0.02447, #22 - LL_slab,
 15, 8, 0.0054, 25.03572, -0.00008, -0.00078, 0.00003, -0.02511, #22 - LL_slab,
 17, 9, -0.00997, 17.78376, 0.00015, 0, 0, 0, #22 - LL_slab,

1,1,0.00128, 4.02476, -0.00007, -0.00105, 0.00002, -0.00708, #23 - LLr_slab,
 3, 2, -0.00298, -0.4616, 0.00021, 0, 0, 0, #23 - LLr_slab,
 5, 3, -0.003, 0.56642, 0.0002, 0, 0, 0, #23 - LLr_slab,
 7, 4, 0.0016, 2.75205, -0.00015, -0.00116, 0.00004, -0.00751, #23 - LLr_slab,
 9, 5, 0.00145, 1.724, -0.00012, -0.00114, 0.00004, -0.00725, #23 - LLr_slab,
 11, 6, 0.0014, 5.05282, -0.00009, -0.00106, 0.00002, -0.00732, #23 - LLr_slab,
 13, 7, 0.00153, 6.09758, -0.00007, -0.00105, 0.00002, -0.00757, #23 - LLr_slab,
 15, 8, 0.00175, 3.7968, -0.00012, -0.00114, 0.00004, -0.00778, #23 - LLr_slab,
 17, 9, -0.00302, 1.61116, 0.00021, 0, 0, 0, #23 - LLr_slab,

1,1,-3.57304, -23.69219, -9.82358, -22.6948, 0.4534, 5.49797, #24 - WL_alongL_Case1,
 3, 2, 1.29426, -22.77068, -3.89075, 0, 0, 0, #24 - WL_alongL_Case1,
 5, 3, 1.59265, -13.00196, -5.98647, 0, 0, 0, #24 - WL_alongL_Case1,
 7, 4, 0.22215, -13.4042, -16.04444, -28.6939, 0.9266, -0.28391, #24 - WL_alongL_Case1,
 9, 5, -3.04757, -23.45047, -11.72708, -25.93023, 0.95584, 5.42, #24 - WL_alongL_Case1,
 11, 6, -1.891, -13.31483, -13.23697, -24.90326, 0.44606, 0.65649, #24 - WL_alongL_Case1,
 13, 7, 1.71066, -2.99465, -9.92584, -22.7382, 0.44668, -4.97131, #24 - WL_alongL_Case1,
 15, 8, 3.37163, -3.19365, -11.94491, -26.02657, 0.95555, -5.88256, #24 - WL_alongL_Case1,
 17, 9, 0.32028, -3.31413, -3.96077, 0, 0, 0, #24 - WL_alongL_Case1,

1,1,-3.14089, -17.94644, -9.48095, -22.52924, 0.45468, 5.37049, #25 - WL_alongL_Case2,
 3, 2, 0.92149, -17.14671, -3.65965, 0, 0, 0, #25 - WL_alongL_Case2,
 5, 3, 0.8543, -7.69542, -5.98675, 0, 0, 0, #25 - WL_alongL_Case2,
 7, 4, 0.11151, -7.90413, -16.04581, -28.69486, 0.92656, -0.13847, #25 - WL_alongL_Case2,
 9, 5, -3.11863, -17.71477, -11.0993, -25.63356, 0.95523, 5.52003, #25 - WL_alongL_Case2,
 11, 6, -1.01867, -7.88534, -13.23764, -24.90354, 0.44599, 0.3641, #25 - WL_alongL_Case2,
 13, 7, 2.14966, 2.09787, -10.26782, -22.90199, 0.44528, -5.10093, #25 - WL_alongL_Case2,
 15, 8, 3.29958, 1.89002, -12.57144, -26.32057, 0.95608, -5.78119, #25 - WL_alongL_Case2,
 17, 9, -0.05835, 1.65665, -4.19194, 0, 0, 0, #25 - WL_alongL_Case2,

1,1,-21.11796, -34.34882, -0.7512, -0.39042, -0.03052, 41.71977, #26 - WL_alongB_Case1,
 3, 2, 3.72495, 4.00304, -0.48863, 0, 0, 0, #26 - WL_alongB_Case1,
 5, 3, 3.42857, 9.57336, 0.01231, 0, 0, 0, #26 - WL_alongB_Case1,
 7, 4, -29.68408, -9.26467, 0.0081, 0.00795, -0.01137, 49.05412, #26 - WL_alongB_Case1,
 9, 5, -26.67115, -14.73608, -1.34744, -0.63353, -0.02083, 45.64491, #26 - WL_alongB_Case1,
 11, 6, -22.85512, -28.92738, -0.01531, -0.03546, -0.01127, 44.34477, #26 - WL_alongB_Case1,
 13, 7, -21.27337, -23.15005, 0.72293, 0.31888, 0.00854, 42.01534, #26 - WL_alongB_Case1,
 15, 8, -26.87427, -3.52414, 1.35286, 0.63813, -0.00136, 45.97312, #26 - WL_alongB_Case1,
 17, 9, 3.74473, 15.22928, 0.50638, 0, 0, 0, #26 - WL_alongB_Case1,

1,1,-20.68573, -28.72505, -0.4084, -0.22302, -0.02929, 41.59217, #27 - WL_alongB_Case2,
 3, 2, 3.35219, 9.55108, -0.25786, 0, 0, 0, #27 - WL_alongB_Case2,
 5, 3, 2.69026, 13.12031, 0.01174, 0, 0, 0, #27 - WL_alongB_Case2,
 7, 4, -29.7949, -5.54665, 0.00707, 0.00906, -0.01149, 49.19992, #27 - WL_alongB_Case2,
